# PZ Skill: Sample Resonance Data (Ω = lim e^x) (Scientific Notation)
# UPDATED: Symmetric Quadratic Drain Term (gamma^|n^2-m^2|)

 m            n           LaRue            k                Div          Normalized_Div Resonance     λ_P(k)       λ_P(m*n)   
   1         259                       inf              nan     ---       0.0000        0.0000       0            2           
   1         266                       inf              nan     ---       0.0000        0.0000       0            3           
   1         271                       inf              nan     ---       0.0000        0.0000       0            1           
   1         273                       inf              nan     ---       0.0000        0.0000       0            3           
   1         281                       inf              nan     ---       0.0000        0.0000       0            1           
   1         290                       inf              nan     ---       0.0000        0.0000       0            3           
   1         300                       inf              nan     ---       0.0000        0.0000       0            3           
   1         305                       inf              nan     ---       0.0000        0.0000       0            2           
   1         307                       inf              nan     ---       0.0000        0.0000       0            1           
   1         309                       inf              nan     ---       0.0000        0.0000       0            2           
   1         314                       inf              nan     ---       0.0000        0.0000       0            2           
   1         315                       inf              nan     ---       0.0000        0.0000       0            3           
   1         317                       inf              nan     ---       0.0000        0.0000       0            1           
   1         332                       inf              nan     ---       0.0000        0.0000       0            2           
   1         342                       inf              nan     ---       0.0000        0.0000       0            3           
   1         354                       inf              nan     ---       0.0000        0.0000       0            3           
   1         364                       inf              nan     ---       0.0000        0.0000       0            3           
   1         375                       inf              nan     ---       0.0000        0.0000       0            2           
   1         382                       inf              nan     ---       0.0000        0.0000       0            2           
   1         386                       inf              nan     ---       0.0000        0.0000       0            2           
   1         389                       inf              nan     ---       0.0000        0.0000       0            1           
   1         391                       inf              nan     ---       0.0000        0.0000       0            2           
   1         394                       inf              nan     ---       0.0000        0.0000       0            2           
   1         395                       inf              nan     ---       0.0000        0.0000       0            2           
   1         401                       inf              nan     ---       0.0000        0.0000       0            1           
   1         403                       inf              nan     ---       0.0000        0.0000       0            2           
   1         411                       inf              nan     ---       0.0000        0.0000       0            2           
   1         415                       inf              nan     ---       0.0000        0.0000       0            2           
   1         424                       inf              nan     ---       0.0000        0.0000       0            2           
   1         426                       inf              nan     ---       0.0000        0.0000       0            3           
   1         429                       inf              nan     ---       0.0000        0.0000       0            3           
   1         439                       inf              nan     ---       0.0000        0.0000       0            1           
   1         441                       inf              nan     ---       0.0000        0.0000       0            2           
   1         449                       inf              nan     ---       0.0000        0.0000       0            1           
   1         452                       inf              nan     ---       0.0000        0.0000       0            2           
   1         454                       inf              nan     ---       0.0000        0.0000       0            2           
   1         459                       inf              nan     ---       0.0000        0.0000       0            2           
   1         473                       inf              nan     ---       0.0000        0.0000       0            2           
   1         481                       inf              nan     ---       0.0000        0.0000       0            2           
   1         485                       inf              nan     ---       0.0000        0.0000       0            2           
   1         486                       inf              nan     ---       0.0000        0.0000       0            2           
   1         488                       inf              nan     ---       0.0000        0.0000       0            2           
   1         493                       inf              nan     ---       0.0000        0.0000       0            2           
   1         496                       inf              nan     ---       0.0000        0.0000       0            2           
   1         506                       inf              nan     ---       0.0000        0.0000       0            3           
   1         508                       inf              nan     ---       0.0000        0.0000       0            2           
   1         512                       inf              nan     ---       0.0000        0.0000       0            1           
   1         532                       inf              nan     ---       0.0000        0.0000       0            3           
   1         545                       inf              nan     ---       0.0000        0.0000       0            2           
   1         561                       inf              nan     ---       0.0000        0.0000       0            3           
   1         562                       inf              nan     ---       0.0000        0.0000       0            2           
   1         565                       inf              nan     ---       0.0000        0.0000       0            2           
   1         575                       inf              nan     ---       0.0000        0.0000       0            2           
   1         577                       inf              nan     ---       0.0000        0.0000       0            1           
   1         581                       inf              nan     ---       0.0000        0.0000       0            2           
   1         587                       inf              nan     ---       0.0000        0.0000       0            1           
   1         589                       inf              nan     ---       0.0000        0.0000       0            2           
   1         593                       inf              nan     ---       0.0000        0.0000       0            1           
   1         598                       inf              nan     ---       0.0000        0.0000       0            3           
   1         601                       inf              nan     ---       0.0000        0.0000       0            1           
   1         603                       inf              nan     ---       0.0000        0.0000       0            2           
   1         604                       inf              nan     ---       0.0000        0.0000       0            2           
   1         607                       inf              nan     ---       0.0000        0.0000       0            1           
   1         608                       inf              nan     ---       0.0000        0.0000       0            2           
   1         610                       inf              nan     ---       0.0000        0.0000       0            3           
   1         628                       inf              nan     ---       0.0000        0.0000       0            2           
   1         629                       inf              nan     ---       0.0000        0.0000       0            2           
   1         632                       inf              nan     ---       0.0000        0.0000       0            2           
   1         633                       inf              nan     ---       0.0000        0.0000       0            2           
   1         636                       inf              nan     ---       0.0000        0.0000       0            3           
   1         652                       inf              nan     ---       0.0000        0.0000       0            2           
   1         658                       inf              nan     ---       0.0000        0.0000       0            3           
   1         659                       inf              nan     ---       0.0000        0.0000       0            1           
   1         660                       inf              nan     ---       0.0000        0.0000       0            4           
   1         662                       inf              nan     ---       0.0000        0.0000       0            2           
   1         666                       inf              nan     ---       0.0000        0.0000       0            3           
   1         669                       inf              nan     ---       0.0000        0.0000       0            2           
   1         676                       inf              nan     ---       0.0000        0.0000       0            2           
   1         680                       inf              nan     ---       0.0000        0.0000       0            3           
   1         691                       inf              nan     ---       0.0000        0.0000       0            1           
   1         694                       inf              nan     ---       0.0000        0.0000       0            2           
   1         696                       inf              nan     ---       0.0000        0.0000       0            3           
   1         709                       inf              nan     ---       0.0000        0.0000       0            1           
   1         716                       inf              nan     ---       0.0000        0.0000       0            2           
   1         718                       inf              nan     ---       0.0000        0.0000       0            2           
   1         719                       inf              nan     ---       0.0000        0.0000       0            1           
   1         721                       inf              nan     ---       0.0000        0.0000       0            2           
   1         725                       inf              nan     ---       0.0000        0.0000       0            2           
   1         726                       inf              nan     ---       0.0000        0.0000       0            3           
   1         733                       inf              nan     ---       0.0000        0.0000       0            1           
   1         754                       inf              nan     ---       0.0000        0.0000       0            3           
   1         761                       inf              nan     ---       0.0000        0.0000       0            1           
   1         763                       inf              nan     ---       0.0000        0.0000       0            2           
   1         768                       inf              nan     ---       0.0000        0.0000       0            2           
   1         769                       inf              nan     ---       0.0000        0.0000       0            1           
   1         785                       inf              nan     ---       0.0000        0.0000       0            2           
   1         787                       inf              nan     ---       0.0000        0.0000       0            1           
   1         789                       inf              nan     ---       0.0000        0.0000       0            2           
   1         792                       inf              nan     ---       0.0000        0.0000       0            3           
   1         800                       inf              nan     ---       0.0000        0.0000       0            2           
 768           3               868068.5676     1497096.0000 -0.0000      -0.0003        1.0000       4            2           
2234           1               145852.5783      210138.0000 -0.0000      -0.0004        1.0000       3            2           
 457           2                64856.1987       85078.0000 -0.6950      -2.0004        1.0000       4            2           
1963           1               125813.4582      178307.0000 -0.0000      -0.0006        1.0000       1            2           
 798           2               122943.5715      173789.0000  0.0010       0.0006        1.0000       4            4           
 700           2               106031.5494      147385.0000  0.0010       0.0006        1.0000       3            3           
2330           1               152901.7379      221443.0000 -0.0000      -0.0007        1.0000       2            3           
1984           1               127320.8256      180685.0000 -0.0010      -0.0007        1.0000       2            2           
1161           2               188623.2772      279480.0000 -0.0010      -0.0008        1.0000       5            3           
1105           2               178018.1138      262126.0000  0.0000       0.0009        1.0000       2            4           
2214           1               144138.3173      207397.0000  0.0010       0.0011        1.0000       2            3           
 816           3               930698.9207     1615429.0000 -0.0010      -0.0012        1.0000       2            3           
 993           2               158012.9190      229672.0000  0.0010       0.0013        1.0000       3            3           
 333           3               332297.0632      522306.0000 -0.0020      -0.0020        1.0000       3            2           
 244           1                11445.6479       11856.0000 -0.0030      -0.0022        1.0000       4            2           
 562           2                81928.9051      110519.0000 -0.0010      -0.0022        1.0000       3            2           
 125           2                13879.1060       14802.0000 -0.4770      -1.0023        0.9999       3            2           
1640           1               102552.7096      142005.0000  0.0020       0.0024        0.9999       3            3           
2381           1               156492.8191      227222.0000  0.0020       0.0026        0.9999       4            1           
 786           3               894782.9362     1547484.0000 -0.0010      -0.0027        0.9999       4            3           
1234           2               202080.5870      301635.0000  0.0020       0.0030        0.9999       3            2           
 612           3               669788.5870     1127494.0000  0.0010       0.0033        0.9999       2            3           
2408           1               158724.3141      230819.0000  0.0030       0.0036        0.9999       1            3           
 595           3               646636.1342     1084900.0000 -0.0030      -0.0037        0.9999       4            4           
1439           1                88720.3966      120806.0000 -0.0030      -0.0038        0.9999       3            1           
  33           4               150238.7427      217166.0000 -0.4430      -0.9961        0.9999       3            3           
1348           1                82158.9148      110867.0000 -0.0040      -0.0040        0.9998       2            2           
2046           1               131813.3717      187788.0000 -0.0040      -0.0041        0.9998       3            4           
1591           1                99138.9657      136744.0000 -0.0030      -0.0044        0.9998       2            2           
1106           1                65518.7604       86053.0000 -0.0050      -0.0046        0.9998       2            3           
1684           1               106173.3471      147605.0000  0.0040       0.0051        0.9997       3            2           
2210           1               143916.6456      207043.0000  0.0040       0.0052        0.9997       3            4           
2496           1               164620.7808      240350.0000 -0.0040      -0.0052        0.9997       5            3           
  74           4               409044.1681      656465.0000 -0.0040      -0.0053        0.9997       2            2           
  39           2                 3354.2847        2820.0000  0.0060       0.0053        0.9997       4            3           
 212           1                 9613.1620        9691.0000 -0.0060      -0.0055        0.9997       2            2           
 935           1                54183.9484       69527.0000  0.0020       0.0058        0.9997       2            3           
2468           1               162788.2949      237384.0000  0.0040       0.0059        0.9997       4            2           
1098           2               177134.3501      260685.0000  0.0050       0.0059        0.9997       3            3           
2096           1               135138.4470      193061.0000 -0.0080      -0.0061        0.9996       2            2           
1129           1                67262.5777       88624.0000  0.0050       0.0062        0.9996       3            1           
 268           2                34567.2090       41883.0000 -0.0040      -0.0063        0.9996       3            2           
  60           4               308153.9175      480659.0000 -0.0060      -0.0063        0.9996       2            3           
 502           1                26474.9880       30955.0000 -0.0040      -0.0063        0.9996       3            2           
  15           1                  347.2856         168.0000  0.0130       0.0063        0.9996       3            2           
 925           2               145359.0307      209349.0000 -0.3800      -1.0064        0.9996       3            3           
 118           1                 4780.7193        4289.0000  0.0110       0.0065        0.9996       1            2           
 317           2                42159.5420       52415.0000  0.0070       0.0066        0.9996       3            2           
 629           2                93417.8322      127969.0000 -0.0050      -0.0068        0.9995       2            3           
 165           2                19623.5696       22010.0000 -0.5770      -1.0069        0.9995       4            4           
1251           1                75227.9801      100459.0000  0.0050       0.0069        0.9995       1            2           
 242           2                30750.9570       36687.0000 -0.0020      -0.0070        0.9995       3            2           
 896           2               140016.2779      200819.0000  0.0050       0.0070        0.9995       2            2           
 164           3               144109.1775      207351.0000 -0.0070      -0.0072        0.9995       2            3           
 254           3               238796.7730      362785.0000 -0.0060      -0.0076        0.9994       3            3           
2494           1               164576.4465      240278.0000 -0.3590      -3.0076        0.9994       4            3           
 665           2                99805.0330      137769.0000 -0.0080      -0.0078        0.9994       3            4           
 169           3               149748.8775      216380.0000 -0.0070      -0.0080        0.9994       4            2           
 415           3               424016.3956      682919.0000 -0.1680      -0.9920        0.9994       2            3           
2056           1               132478.3868      188842.0000 -0.3640      -1.0084        0.9993       2            2           
2033           1               130838.0163      186244.0000 -0.0080      -0.0084        0.9993       3            2           
 532           2                76987.8630      103092.0000 -0.2940      -1.0085        0.9993       4            3           
